TEAM,Total DVOA Rank,Total DVOA,Prev. Week Rank,W-L,Weighted DVOA Rank,Weighted DVOA,DAVE Rank,DAVE,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Past Schedule Rank,Past Schedule,Future Schedule Rank,Future Schedule,Variance Rank,Variance
NO,1,38.30%,1,02-Sep,1,42.70%,1,38.60%,5,12.60%,2,-21.30%,5,4.40%,2,9.5,2,38.00%,16,0.60%,16,0.60%,26,17.70%
PIT,2,28.60%,3,10-0,2,30.80%,3,25.50%,15,1.90%,1,-24.20%,10,2.50%,3,9.5,1,42.60%,32,-11.00%,18,0.20%,11,7.40%
TB,3,26.30%,2,05-Jul,4,24.70%,4,23.60%,6,11.20%,3,-16.20%,20,-1.10%,4,8.9,4,22.80%,3,6.10%,28,-5.90%,32,25.00%
KC,4,25.30%,4,01-Oct,3,26.90%,2,26.00%,1,30.00%,17,3.00%,23,-1.70%,1,10,3,27.40%,27,-4.40%,17,0.30%,1,3.70%
GB,5,18.40%,9,03-Aug,6,17.10%,6,14.80%,2,27.00%,18,6.50%,25,-2.10%,8,7.6,9,16.30%,6,4.00%,27,-5.80%,17,12.90%
LAR,6,17.00%,7,04-Jul,5,17.50%,5,15.70%,7,11.10%,6,-12.30%,29,-6.40%,7,7.7,7,17.80%,15,0.60%,25,-4.90%,18,13.10%
BAL,7,16.70%,8,04-Jun,10,12.30%,8,12.90%,22,-4.80%,7,-11.70%,2,9.80%,11,6.9,5,19.30%,18,0.30%,31,-10.10%,22,14.90%
IND,8,15.70%,5,04-Jul,7,15.70%,7,14.40%,17,1.10%,8,-11.50%,9,3.10%,9,7.3,6,19.20%,28,-5.20%,20,-0.30%,14,9.40%
SEA,9,14.60%,6,03-Aug,8,13.70%,9,12.90%,4,16.30%,26,8.50%,3,6.70%,5,8,10,14.80%,20,0.00%,30,-7.80%,7,6.00%
MIA,10,10.20%,10,04-Jul,9,13.40%,11,8.00%,18,-1.30%,14,-1.30%,1,10.20%,14,6.6,8,17.60%,31,-8.90%,21,-1.00%,25,15.90%
BUF,11,9.90%,12,03-Aug,11,11.90%,10,10.80%,8,7.70%,16,1.20%,8,3.50%,6,8,12,10.50%,25,-2.60%,12,1.50%,16,11.50%
TEN,12,7.70%,13,03-Aug,12,8.00%,12,7.50%,3,23.50%,28,9.00%,30,-6.70%,10,7,13,9.20%,12,1.20%,26,-5.70%,15,9.60%
ARI,13,5.50%,11,05-Jun,13,6.80%,13,5.80%,13,3.80%,11,-4.70%,26,-3.10%,13,6.6,11,12.60%,26,-3.30%,14,1.10%,10,7.10%
SF,14,4.60%,15,06-May,14,4.10%,14,3.50%,19,-1.40%,9,-5.90%,16,0.10%,15,6.4,14,1.70%,8,3.40%,15,0.80%,31,22.50%
MIN,15,3.60%,16,06-May,15,2.40%,15,1.90%,9,7.30%,12,-4.10%,31,-7.80%,12,6.8,18,-1.40%,9,2.50%,8,5.20%,13,8.50%
CAR,16,-0.70%,17,08-Apr,16,-1.30%,16,-2.20%,10,5.70%,22,7.30%,15,0.90%,19,5.5,20,-3.00%,2,6.20%,6,6.40%,8,6.30%
HOU,17,-3.10%,20,07-Apr,19,-4.30%,19,-3.70%,11,5.20%,25,8.10%,17,-0.20%,22,4.8,17,-1.10%,10,2.20%,10,1.90%,6,5.40%
LV,18,-3.50%,14,05-Jun,18,-4.00%,20,-3.90%,14,2.50%,21,6.80%,14,0.90%,17,5.5,22,-9.70%,5,5.10%,32,-10.60%,23,15.20%
CHI,19,-4.40%,18,06-May,17,-3.60%,18,-3.30%,28,-18.70%,4,-12.70%,12,1.60%,20,5,21,-9.50%,1,8.30%,22,-3.00%,2,4.20%
WAS,20,-6.80%,21,07-Apr,21,-4.70%,21,-6.80%,27,-18.00%,5,-12.50%,21,-1.30%,18,5.5,15,0.10%,30,-8.60%,7,5.80%,21,14.10%
ATL,21,-6.90%,23,07-Apr,20,-4.50%,17,-3.10%,23,-5.10%,15,0.20%,22,-1.60%,23,4.7,19,-1.80%,14,0.80%,1,20.00%,12,8.00%
CLE,22,-9.60%,22,03-Aug,22,-9.20%,22,-8.50%,16,1.30%,19,6.60%,27,-4.20%,16,5.6,16,-1.00%,29,-5.50%,19,-0.10%,30,21.30%
NE,23,-11.50%,26,06-May,24,-13.00%,23,-10.90%,21,-3.50%,31,13.00%,4,5.00%,21,4.9,23,-9.90%,11,1.60%,23,-3.50%,27,17.70%
DET,24,-13.40%,19,07-Apr,25,-16.60%,26,-13.60%,20,-2.30%,30,10.90%,18,-0.30%,25,4.5,27,-16.20%,7,3.50%,2,10.30%,20,13.90%
NYG,25,-14.90%,25,07-Apr,23,-12.40%,24,-11.40%,25,-11.80%,20,6.80%,7,3.70%,24,4.5,26,-12.90%,23,-2.00%,11,1.60%,9,7.00%
LAC,26,-16.00%,24,08-Mar,27,-19.40%,27,-16.50%,12,4.50%,23,7.80%,32,-12.70%,30,3.1,24,-11.40%,21,-0.20%,24,-4.20%,5,5.00%
PHI,27,-18.20%,28,2003-07-01,26,-16.70%,25,-13.00%,30,-19.60%,13,-2.30%,19,-0.90%,29,3.3,25,-11.70%,22,-0.80%,4,7.30%,3,4.30%
DAL,28,-19.00%,27,08-Mar,29,-21.80%,28,-19.40%,26,-13.10%,24,8.00%,11,2.00%,26,4.1,29,-22.20%,17,0.60%,29,-7.40%,28,18.20%
JAX,29,-20.70%,30,10-Jan,28,-21.60%,29,-19.70%,24,-6.60%,32,15.20%,13,1.10%,27,3.9,28,-18.90%,13,0.90%,3,7.90%,29,20.20%
DEN,30,-24.20%,29,07-Apr,31,-24.60%,30,-22.10%,32,-28.40%,10,-5.90%,24,-1.70%,28,3.7,31,-26.90%,4,5.40%,9,3.00%,19,13.50%
CIN,31,-25.00%,31,2002-08-01,30,-24.40%,31,-22.60%,29,-19.30%,29,9.50%,6,3.80%,31,2.7,30,-26.40%,24,-2.40%,5,6.70%,4,4.70%
NYJ,32,-38.70%,32,0-11,32,-40.40%,32,-35.70%,31,-25.10%,27,8.90%,28,-4.80%,32,1.4,32,-43.60%,19,0.10%,13,1.40%,24,15.60%